# atom_type   chi                 eta      a.u.
CH3   0.55077955   0.75312276
CN    0.00616533   0.89131618
N     0.73143626   0.99795678
H     0.30639994   0.55041080
Po   0.55077955   0.75312276
Ne   0.55077955   0.75312276
